0.0,0.04,-0.01,9.81,0.00,0.01,0.00,25.12,-5.04,-40.11
0.2,1.12,0.05,9.78,-0.01,0.00,0.02,24.85,-4.92,-39.85
0.4,0.98,-0.03,9.83,0.01,-0.02,-0.01,25.30,-5.15,-40.22
0.6,0.05,0.02,9.80,0.00,0.00,0.01,24.98,-5.02,-40.05
0.8,-0.02,0.04,9.79,0.02,0.01,-0.01,25.05,-4.88,-39.92
1.0,0.01,-0.05,9.82,-0.01,0.00,0.00,23.45,-8.12,-40.15
1.2,-0.15,0.45,9.85,0.01,0.02,0.42,15.20,-18.45,-40.32
1.4,-0.20,0.88,9.81,-0.02,-0.01,0.85,5.12,-24.10,-39.88
1.6,-0.05,0.30,9.77,0.00,0.03,0.30,-2.34,-24.85,-40.01
1.8,0.02,-0.10,9.80,-0.01,0.00,-0.10,4.88,-20.15,-40.12
2.0,0.12,-0.55,9.83,0.03,-0.02,-0.65,12.65,-12.30,-39.75
2.2,0.05,-0.40,9.79,0.01,0.01,-0.30,22.10,-6.45,-40.08
2.4,-0.02,0.03,9.81,0.00,-0.01,0.05,24.95,-5.10,-40.25
2.6,0.04,-0.02,9.80,-0.01,0.02,-0.02,25.08,-4.95,-39.95
2.8,-1.25,0.10,9.82,0.02,0.00,0.04,25.15,-5.08,-40.10
3.0,-1.10,-0.05,9.78,-0.03,-0.01,-0.01,24.92,-5.12,-39.82
3.2,-0.40,0.02,9.81,0.01,0.04,0.00,25.03,-5.01,-40.05
3.4,-0.05,-0.01,9.80,0.00,-0.01,0.02,24.88,-4.98,-39.98
3.6,0.02,0.03,9.82,-0.02,0.00,-0.01,25.21,-5.15,-40.15
3.8,-0.01,-0.02,9.81,0.01,0.01,0.00,25.05,-5.02,-40.0
